"","age_group","attend_day_or_evening","attending_germantown","attending_rockville","attending_takoma_park_ss","city_in_md","county_in_md","ethnicity","fall_term","gender","hs_category","mc_program_description","mcps_high_school","race","state","student_status","student_type","zip"
"678","30 or Older","Day & Evening","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Black","MD","Full-Time","Continuing",20904
"679","30 or Older","Day & Evening","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Black","MD","Full-Time","Continuing",20904
"680","21 - 24","Day Only","Yes","Yes","No","Potomac","Montgomery","Not Hispanic",2015,"Male","Mont.County Other","Business / International Business (AA)","","White","MD","Full-Time","Continuing",20854
"681","21 - 24","Day & Evening","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Quince Orchard Sr High School","White","MD","Part-Time","Transfer with degree",20874
"682","20 or Younger","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Polysomnography Technology (CT)","","Black","MD","Part-Time","Continuing",20910
"683","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","Science (AS - All Tracks)","Richard Montgomery High School","Asian","MD","Full-Time","Continuing",20850
"684","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Science & Technologies (AA - All Tracks)","Northwood High School","Black","MD","Full-Time","Continuing",20902
"685","21 - 24","Day & Evening","Yes","No","No","Montgomery Village","Montgomery","Not Hispanic",2015,"Male","Other State","Cybersecurity (AAS)","","Asian","MD","Part-Time","Continuing",20886
"686","21 - 24","Day Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Male","MCPS","Microcomputer Technician (AA & AAS)","Wheaton High School","Asian","MD","Part-Time","Continuing",20853
"687","20 or Younger","Day & Evening","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Gaming & Simulation (AA - All Tracks)","Seneca Valley High School","White","MD","Full-Time","Continuing",20874
