"","age_group","attend_day_or_evening","attending_germantown","attending_rockville","attending_takoma_park_ss","city_in_md","county_in_md","ethnicity","fall_term","gender","hs_category","mc_program_description","mcps_high_school","race","state","student_status","student_type","zip"
"240","30 or Older","Day & Evening","No","Yes","No","Brookeville","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Architectural & Construction Tech (AA & AAS)","","Black","MD","Part-Time","Continuing",20833
"241","25 - 29","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Computer Science & Technologies (AA - All Tracks)","","Black","MD","Part-Time","Continuing",20910
"242","20 or Younger","Day Only","No","Yes","Yes","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Science & Technologies (AA - All Tracks)","Colonel Zadok Magruder HS","Black","MD","Part-Time","New",20879
"243","21 - 24","Day Only","No","No","Yes","District Heights","Prince George's","Not Hispanic",2015,"Male","MCPS","Studio Art (AFA) - School of Art & Design","James Hubert Blake High School","Black","MD","Part-Time","Continuing",20747
"244","25 - 29","Day Only","Yes","No","No","Kensington","Montgomery","Not Hispanic",2015,"Male","MCPS","Cybersecurity (AAS)","Walter Johnson High School","White","MD","Part-Time","Continuing",20895
"245","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Seneca Valley High School","Native American","MD","Full-Time","New",20874
"246","25 - 29","Day & Evening","Yes","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","GED","Computer Science & Technologies (AA - All Tracks)","","Black","MD","Full-Time","New",20851
"247","21 - 24","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Science (AS - All Tracks)","","Black","MD","Full-Time","Continuing",20904
"248","21 - 24","Day Only","No","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Sherwood High School","White","MD","Full-Time","Continuing",20832
"249","21 - 24","Day Only","No","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Sherwood High School","White","MD","Full-Time","Continuing",20832
"250","25 - 29","Evening Only","No","Yes","No","Rockville","Montgomery","Unknown",2015,"Male","Other State","Health Sciences (Pre-Clinical Studies)","","Asian","MD","Part-Time","Continuing",20850
"251","30 or Older","No Specific Time[online]","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","Business / International Business (AA)","Gaithersburg High School","Black","MD","Part-Time","Continuing",20853
"252","30 or Older","Evening Only","No","Yes","Yes","Takoma Park","Montgomery","Unknown",2015,"Male","Foreign Country","Biotechnology (AA & AAS)","","Black","MD","Part-Time","Continuing",20912
"253","21 - 24","Day Only","No","Yes","No","Derwood","Montgomery","Hispanic",2015,"Male","MCPS","Science (AS - All Tracks)","Colonel Zadok Magruder HS","Native American","MD","Part-Time","Continuing",20855
"254","21 - 24","Evening Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Walter Johnson High School","White","MD","Part-Time","Continuing",20853
"255","25 - 29","Evening Only","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","Other State","Health Sciences (Pre-Clinical Studies)","","Black","MD","Full-Time","Continuing",20874
"256","20 or Younger","Day Only","No","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","Other State","Science (AS - All Tracks)","","Native American","MD","Part-Time","Continuing",20876
"257","21 - 24","Day & Evening","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Male","Other State","Business / International Business (AA)","","Asian","MD","Full-Time","Continuing",20876
"258","25 - 29","Evening Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","Business / International Business (AA)","Albert Einstein HS & MC Art Cn","Hispanic","MD","Part-Time","Continuing",20906
"259","21 - 24","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","Hospitality Management (AA & AAS)","Albert Einstein HS & MC Art Cn","Native American","MD","Part-Time","Continuing",20906
"260","30 or Older","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Other State","Credit (Undeclared / Undecided)","","White","MD","Part-Time","Continuing",20910
"261","30 or Older","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Other State","Credit (Undeclared / Undecided)","","White","MD","Part-Time","Continuing",20910
"262","20 or Younger","Day Only","Yes","Yes","No","Clarksburg","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Clarksburg High School","White","MD","Full-Time","Continuing",20871
"263","25 - 29","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Mont.County Other","Business / International Business (AA)","","White","MD","Full-Time","Continuing",20902
"264","21 - 24","Day Only","Yes","No","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Cybersecurity (AAS)","James Hubert Blake High School","Black","MD","Part-Time","Continuing",20904
"265","20 or Younger","Day & Evening","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Richard Montgomery High School","White","MD","Part-Time","Continuing",20906
"266","21 - 24","Day Only","No","Yes","No","Montgomery Village","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Watkins Mill High School","Hispanic","MD","Part-Time","Continuing",20886
"267","20 or Younger","Day Only","No","Yes","No","Potomac","Montgomery","Hispanic",2015,"Male","Mont.County Other","Communication Studies (AA)","","White","MD","Part-Time","Continuing",20854
"268","21 - 24","No Specific Time[online]","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Computer Science & Technologies (AA - All Tracks)","","White","MD","Full-Time","New",20876
"269","21 - 24","Day Only","No","Yes","No","Montgomery Village","Montgomery","Hispanic",2015,"Female","Foreign Country","Arts & Sciences Transfer (AA - All Tracks)","","Black","MD","Part-Time","Continuing",20886
"270","20 or Younger","Day Only","Yes","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Colonel Zadok Magruder HS","White","MD","Full-Time","New",20832
"271","25 - 29","Day & Evening","Yes","No","No","Montgomery Village","Montgomery","Not Hispanic",2015,"Male","Foreign Country","General Studies (AA - All Tracks)","","Black","MD","Part-Time","New",20886
"272","21 - 24","Day & Evening","No","No","Yes","Rockville","Montgomery","Hispanic",2015,"Male","Other Maryland","Engineering Science (AA & AS - All Tracks)","","White","MD","Full-Time","Continuing",20850
"273","20 or Younger","Day Only","No","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Sherwood High School","White","MD","Full-Time","Continuing",20832
"274","20 or Younger","Day Only","No","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Sherwood High School","White","MD","Full-Time","Continuing",20832
"275","20 or Younger","Day Only","No","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Sherwood High School","White","MD","Full-Time","Continuing",20832
"276","20 or Younger","Day Only","No","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Sherwood High School","White","MD","Full-Time","Continuing",20832
"277","20 or Younger","Day Only","No","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Sherwood High School","White","MD","Full-Time","Continuing",20832
"278","20 or Younger","Day Only","No","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Sherwood High School","White","MD","Full-Time","Continuing",20832
"279","20 or Younger","Day Only","No","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Sherwood High School","White","MD","Full-Time","Continuing",20832
"280","20 or Younger","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Science & Technologies (AA - All Tracks)","Gaithersburg High School","Black","MD","Part-Time","HS Student",20879
"281","20 or Younger","Day Only","No","No","Yes","Washington","Other","Not Hispanic",2015,"Male","Other State","Computer Science & Technologies (AA - All Tracks)","","Multi-Race","DC","Part-Time","Transfer no degree",20002
"282","20 or Younger","Evening Only","Yes","No","Yes","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Clarksburg High School","Asian","MD","Part-Time","Continuing",20876
"283","25 - 29","Evening Only","Yes","Yes","Yes","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","Education / Teacher Education (AA & AAT)","Northwest HS - Germantown","Black","MD","Part-Time","Continuing",20879
"284","20 or Younger","Day Only","No","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Female","MCPS","Education / Teacher Education (AA & AAT)","James Hubert Blake High School","Multi-Race","MD","Part-Time","New",20832
"285","21 - 24","Day Only","Yes","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","Business / International Business (AA)","John F. Kennedy High School","Hispanic","MD","Part-Time","Continuing",20906
"286","20 or Younger","Day Only","No","Yes","No","Kensington","Montgomery","Hispanic",2015,"Male","MCPS","Health Sciences (Pre-Clinical Studies)","Bethesda Chevy Chase High Schl","Black","MD","Part-Time","New",20895
"287","30 or Older","No Specific Time[online]","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Health Information Management (AA & AAS)","","Black","MD","Part-Time","Continuing",20910
"288","21 - 24","Day Only","No","Yes","No","Kensington","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Walter Johnson High School","Hispanic","MD","Part-Time","Continuing",20895
"289","21 - 24","Day & Evening","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Thomas Sprigg Wootton High Sch","White","MD","Part-Time","Continuing",20850
"290","20 or Younger","Day Only","Yes","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Science - Computer Programming (CT)","Quince Orchard Sr High School","Asian","MD","Part-Time","New",20877
"291","20 or Younger","Day & Evening","Yes","Yes","No","Clarksburg","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Clarksburg High School","Asian","MD","Full-Time","Continuing",20871
"292","21 - 24","Day & Evening","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Walter Johnson High School","White","MD","Part-Time","Continuing",20852
"293","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","GED","Communication Studies (AA)","","White","MD","Part-Time","Continuing",20852
"294","20 or Younger","Day & Evening","No","No","Yes","Hyattsville","Prince George's","Not Hispanic",2015,"Female","Other State","General Studies (AA - All Tracks)","","Black","MD","Part-Time","Continuing",20783
"295","20 or Younger","Day & Evening","Yes","No","No","Damascus","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Damascus High School","White","MD","Part-Time","Continuing",20872
"296","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Male","Mont.County Other","Health Sciences (Pre-Clinical Studies)","","White","MD","Full-Time","New",20904
"297","21 - 24","Day Only","Yes","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","Other State","General Studies (AA - All Tracks)","","White","MD","Full-Time","Continuing",20877
"298","20 or Younger","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","Watkins Mill High School","White","MD","Part-Time","Continuing",20879
"299","21 - 24","No Specific Time[online]","No","Yes","No","Bethesda","Montgomery","Not Hispanic",2015,"Female","MCPS","Credit (Undeclared / Undecided)","Walt Whitman High School","Asian","MD","Full-Time","New",20814
"300","30 or Older","Evening Only","Yes","No","Yes","Annapolis","Anne Arundel","Not Hispanic",2015,"Female","Other State","Paralegal Studies (AA & AAS)","","White","MD","Full-Time","Continuing",21404
"301","20 or Younger","Day Only","No","Yes","No","Kensington","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","Bethesda Chevy Chase High Schl","White","MD","Part-Time","Continuing",20895
"302","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","Montgomery Blair High School","White","MD","Full-Time","Continuing",20902
"303","20 or Younger","Day Only","No","No","Yes","Washington","Other","Hispanic",2015,"Male","Other State","Specialized Art Transfer (CT)","","Native American","DC","Part-Time","Continuing",20018
"304","30 or Older","Day Only","Yes","Yes","No","Potomac","Montgomery","Not Hispanic",2015,"Female","Foreign Country","School of Art & Design - Applicants","","White","MD","Full-Time","Continuing",20854
"305","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Montgomery Blair High School","White","MD","Part-Time","New",20903
"306","20 or Younger","Day & Evening","No","Yes","No","Poolesville","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Computer Science & Technologies (AA - All Tracks)","","White","MD","Full-Time","Continuing",20837
"307","30 or Older","Day & Evening","No","No","Yes","Takoma Park","Montgomery","Not Hispanic",2015,"Male","Foreign Country","General Studies (AA - All Tracks)","","Black","MD","Full-Time","Continuing",20912
"308","21 - 24","Day Only","No","Yes","No","Damascus","Montgomery","Hispanic",2015,"Male","Other State","General Studies (AA - All Tracks)","","Black","MD","Full-Time","Continuing",20872
"309","20 or Younger","Day Only","No","Yes","No","North Potomac","Montgomery","Not Hispanic",2015,"Male","MCPS","Science (AS - All Tracks)","Thomas Sprigg Wootton High Sch","White","MD","Part-Time","Continuing",20878
"310","30 or Older","Day Only","No","Yes","No","Montgomery Village","Montgomery","Hispanic",2015,"Male","Other State","Criminal Justice (AA & AAS)","","Hispanic","MD","Part-Time","Continuing",20886
"311","20 or Younger","Day Only","Yes","No","No","Laytonsville","Montgomery","Not Hispanic",2015,"Male","Mont.County Other","General Studies (AA - All Tracks)","","White","MD","Full-Time","Transfer no degree",20882
"312","20 or Younger","Day Only","No","Yes","No","Potomac","Montgomery","Not Hispanic",2015,"Male","MCPS","Graphic Design (AA, AAS, & AFA - All Tracks)","Winston Churchill High School","Asian","MD","Part-Time","Continuing",20854
"313","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Commun & Broadcasting Tech (CT)","Paint Branch High School","Asian","MD","Full-Time","New",20904
"314","30 or Older","Evening Only","No","No","Yes","Burtonsville","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Engineering Science (AA & AS - All Tracks)","","Black","MD","Part-Time","Transfer no degree",20866
"315","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Male","Other Maryland","Automotive Technology (AA & AAS)","","Pacific Islander","MD","Part-Time","Continuing",20904
"316","20 or Younger","Day Only","No","Yes","No","Montgomery Village","Montgomery","Not Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Richard Montgomery High School","White","MD","Full-Time","New",20886
"317","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Thomas Sprigg Wootton High Sch","White","MD","Full-Time","Continuing",20850
"318","21 - 24","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","John F. Kennedy High School","Black","MD","Part-Time","Continuing",20902
"319","20 or Younger","Day Only","Yes","No","No","Gaithersburg","Montgomery","Hispanic",2015,"Male","GED","Science (AS - All Tracks)","","White","MD","Full-Time","Continuing",20879
"320","25 - 29","Day & Evening","No","Yes","No","Rockville","Montgomery","Unknown",2015,"Female","MCPS","General Studies (AA - All Tracks)","Wheaton High School","Asian","MD","Part-Time","Continuing",20852
"321","20 or Younger","Day Only","Yes","No","No","Sandy Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Business / International Business (AA)","Sherwood High School","White","MD","Part-Time","New",20860
"322","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Albert Einstein HS & MC Art Cn","Asian","MD","Part-Time","New",20902
"323","21 - 24","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","Other Maryland","Engineering Science (AA & AS - All Tracks)","","Asian","MD","Full-Time","Continuing",20853
"324","30 or Older","Day Only","No","Yes","Yes","Montgomery Village","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Cybersecurity (AAS)","","Asian","MD","Part-Time","Continuing",20886
"325","20 or Younger","Day Only","No","Yes","No","North Potomac","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Quince Orchard Sr High School","White","MD","Full-Time","Continuing",20878
"326","21 - 24","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Accounting (AA & AAS)","","Asian","MD","Full-Time","New",20850
"327","20 or Younger","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","Arts & Sciences Transfer (AA - All Tracks)","Quince Orchard Sr High School","White","MD","Part-Time","New",20878
"328","21 - 24","Day & Evening","Yes","Yes","Yes","Rockville","Montgomery","Not Hispanic",2015,"Male","GED","General Studies (AA - All Tracks)","","White","MD","Part-Time","Continuing",20853
"329","25 - 29","Day Only","No","Yes","No","Laurel","Prince George's","Hispanic",2015,"Male","Other State","General Studies (AA - All Tracks)","","White","MD","Full-Time","Continuing",20707
"330","21 - 24","Day Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Female","Other Maryland","Education / Teacher Education (AA & AAT)","","White","MD","Part-Time","Transfer with degree",20852
"331","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Male","GED","Arts & Sciences Transfer (AA - All Tracks)","","Native American","MD","Full-Time","New",20905
"332","25 - 29","Day & Evening","No","Yes","Yes","Silver Spring","Montgomery","Hispanic",2015,"Female","Foreign Country","Science (AS - All Tracks)","","Hispanic","MD","Part-Time","Continuing",20902
"333","20 or Younger","Day Only","No","Yes","Yes","","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","John F. Kennedy High School","Black","MD","Full-Time","Continuing",NA
"334","25 - 29","Day Only","Yes","No","Yes","Germantown","Montgomery","Hispanic",2015,"Female","GED","Health Sciences (Pre-Clinical Studies)","","White","MD","Part-Time","Continuing",20876
"335","21 - 24","Day & Evening","Yes","Yes","No","Potomac","Montgomery","Not Hispanic",2015,"Female","Mont.County Other","Education / Teacher Education (AA & AAT)","","White","MD","Part-Time","Continuing",20854
"336","25 - 29","Evening Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Computer Science & Technologies (AA - All Tracks)","","Black","MD","Part-Time","Continuing",20850
"337","21 - 24","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","Mont.County Other","Computer Science & Technologies (AA - All Tracks)","","Asian","MD","Full-Time","Continuing",20850
"338","20 or Younger","Evening Only","No","Yes","No","Potomac","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Winston Churchill High School","Multi-Race","MD","Part-Time","HS Student",20854
"339","25 - 29","Day Only","No","Yes","No","Kensington","Montgomery","Not Hispanic",2015,"Female","Foreign Country","General Studies (AA - All Tracks)","","Black","MD","Full-Time","Continuing",20895
"340","30 or Older","Evening Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Microcomputer Technician (AA & AAS)","","Black","MD","Part-Time","Continuing",20878
"341","20 or Younger","Day Only","No","No","Yes","Hyattsville","Prince George's","Hispanic",2015,"Female","Other Maryland","Education / Teacher Education (AA & AAT)","","Native American","MD","Full-Time","Continuing",20783
"342","21 - 24","Day Only","No","Yes","Yes","Rockville","Montgomery","Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Walter Johnson High School","Hispanic","MD","Full-Time","Continuing",20852
"343","20 or Younger","Day Only","Yes","Yes","No","Bethesda","Montgomery","Hispanic",2015,"Female","MCPS","Education / Teacher Education (AA & AAT)","Walter Johnson High School","White","MD","Part-Time","Continuing",20817
"344","20 or Younger","Day Only","Yes","No","No","Montgomery Village","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","Watkins Mill High School","Black","MD","Part-Time","New",20886
"345","21 - 24","Day Only","No","Yes","No","Gaithersburg","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Colonel Zadok Magruder HS","Hispanic","MD","Part-Time","Continuing",20877
"346","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Rockville High School","Multi-Race","MD","Full-Time","Continuing",20850
"347","25 - 29","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","GED","Health Sciences (Pre-Clinical Studies)","","Black","MD","Part-Time","Continuing",20904
"348","21 - 24","Day & Evening","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","Bethesda Chevy Chase High Schl","Black","MD","Full-Time","Continuing",20910
"349","21 - 24","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Other State","Cybersecurity (AAS)","","Black","MD","Part-Time","Continuing",20904
"350","20 or Younger","Day Only","No","Yes","No","Poolesville","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Poolesville Jr-Sr High School","White","MD","Full-Time","New",20837
"351","25 - 29","Day & Evening","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Science - Computer Programming (CT)","Rockville High School","White","MD","Part-Time","Continuing",20853
"352","20 or Younger","Day Only","No","Yes","No","Bethesda","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Walt Whitman High School","Asian","MD","Full-Time","Continuing",20817
"353","30 or Older","Day & Evening","No","Yes","No","Derwood","Montgomery","Not Hispanic",2015,"Male","Other State","Photography (CT)","","White","MD","Full-Time","Continuing",20855
"354","30 or Older","Day Only","No","No","Yes","Montgomery Village","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Nursing (AA & AAS)","","Black","MD","Part-Time","Continuing",20886
"355","21 - 24","Day Only","No","Yes","No","Clarksburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Gaming & Simulation (AA - All Tracks)","Clarksburg High School","Black","MD","Part-Time","Continuing",20871
"356","30 or Older","Evening Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","Mont.County Other","Early Childhood Education (AA & AAS)","","White","MD","Part-Time","Continuing",20851
"357","25 - 29","Evening Only","No","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Paint Branch High School","Asian","MD","Part-Time","Continuing",20876
"358","30 or Older","Day Only","No","No","Yes","Takoma Park","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Accounting (AA & AAS)","","Black","MD","Part-Time","New",20912
"359","20 or Younger","Day Only","No","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Sherwood High School","Asian","MD","Full-Time","Continuing",20832
"360","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Springbrook Sr High School","White","MD","Part-Time","Continuing",20903
"361","30 or Older","Evening Only","No","Yes","Yes","Burtonsville","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Science (AS - All Tracks)","","Black","MD","Full-Time","New",20866
"362","20 or Younger","Day & Evening","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","Science (AS - All Tracks)","Watkins Mill High School","Black","MD","Full-Time","Continuing",20876
"363","20 or Younger","Day & Evening","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Seneca Valley High School","Black","MD","Full-Time","New",20874
"364","20 or Younger","Day Only","No","No","Yes","Beltsville","Prince George's","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Montgomery Blair High School","Black","MD","Part-Time","Continuing",20705
"365","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","John F. Kennedy High School","Asian","MD","Part-Time","New",20906
"366","20 or Younger","Day & Evening","No","No","Yes","Takoma Park","Montgomery","Not Hispanic",2015,"Female","Foreign Country","General Studies (AA - All Tracks)","","Black","MD","Part-Time","New",20912
"367","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Male","Other Maryland","Business / International Business (AA)","","White","MD","Full-Time","New",20901
"368","30 or Older","Evening Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Business / International Business (AA)","","Black","MD","Part-Time","Continuing",20874
"369","21 - 24","Day Only","Yes","No","No","Germantown","Montgomery","Hispanic",2015,"Male","MCPS","Cybersecurity (AAS)","Quince Orchard Sr High School","Hispanic","MD","Part-Time","Continuing",20874
"370","20 or Younger","Day Only","No","Yes","No","Chevy Chase","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Walter Johnson High School","Hispanic","MD","Full-Time","Continuing",20815
"371","30 or Older","No Specific Time[online]","Yes","No","Yes","Hyattsville","Prince George's","Not Hispanic",2015,"Male","Other State","Health Sciences (Pre-Clinical Studies)","","White","MD","Part-Time","Continuing",20785
"372","20 or Younger","Day Only","No","Yes","No","North Potomac","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Thomas Sprigg Wootton High Sch","White","MD","Full-Time","Continuing",20878
"373","25 - 29","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Graphic Design (AA, AAS, & AFA - All Tracks)","James Hubert Blake High School","Black","MD","Part-Time","Continuing",20904
"374","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Mont.County Other","Science (AS - All Tracks)","","White","MD","Full-Time","Continuing",20902
"375","21 - 24","Day Only","No","Yes","Yes","New Carrollton","Prince George's","Hispanic",2015,"Male","Other Maryland","Communication Studies (AA)","","Hispanic","MD","Part-Time","Continuing",20784
"376","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Richard Montgomery High School","Pacific Islander","MD","Part-Time","Continuing",20850
"377","25 - 29","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Arts & Sciences Transfer (AA - All Tracks)","","Black","MD","Full-Time","Continuing",20904
"378","20 or Younger","Day Only","No","Yes","Yes","Brookeville","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Sherwood High School","White","MD","Full-Time","Continuing",20833
"379","25 - 29","Day Only","No","Yes","No","Derwood","Montgomery","Not Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Colonel Zadok Magruder HS","Asian","MD","Part-Time","Continuing",20855
"380","30 or Older","No Specific Time[online]","Yes","Yes","Yes","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Foreign Country","General Studies (AA - All Tracks)","","Black","MD","Full-Time","New",20878
