"AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","Date"
159.320007,160.210007,158.75,159.850006,22122700,159.27742,"2017-08-14"
160.660004,162.199997,160.139999,161.600006,29465500,161.021149,"2017-08-15"
161.940002,162.509995,160.149994,160.949997,27671600,160.373474,"2017-08-16"
160.520004,160.710007,157.839996,157.860001,27940600,157.29454,"2017-08-17"
157.860001,159.5,156.720001,157.5,27428100,156.935837,"2017-08-18"
157.5,157.889999,155.110001,157.210007,26368500,156.646881,"2017-08-21"
158.229996,160,158.020004,159.779999,21604600,159.207672,"2017-08-22"
159.070007,160.470001,158.880005,159.979996,19399100,159.406952,"2017-08-23"
160.429993,160.740005,158.550003,159.270004,19818900,158.699493,"2017-08-24"
159.649994,160.559998,159.270004,159.860001,25480100,159.287384,"2017-08-25"
160.139999,162,159.929993,161.470001,25966000,160.891617,"2017-08-28"
160.100006,163.119995,160,162.910004,29516900,162.326462,"2017-08-29"
163.800003,163.889999,162.610001,163.350006,27269600,162.764893,"2017-08-30"
163.639999,164.520004,163.479996,164,26785100,163.412552,"2017-08-31"
164.800003,164.940002,163.630005,164.050003,16591100,163.462372,"2017-09-01"
163.75,164.25,160.559998,162.080002,29468500,161.499435,"2017-09-05"
162.710007,162.990005,160.520004,161.910004,21651700,161.330048,"2017-09-06"
162.089996,162.240005,160.360001,161.259995,21928500,160.682358,"2017-09-07"
160.860001,161.149994,158.529999,158.630005,28611500,158.061798,"2017-09-08"
160.5,162.050003,159.889999,161.5,31085900,160.921509,"2017-09-11"
162.610001,163.960007,158.770004,160.860001,71714000,160.283798,"2017-09-12"
159.869995,159.960007,157.910004,159.649994,44907400,159.078125,"2017-09-13"
158.990005,159.399994,158.089996,158.279999,23760700,157.713043,"2017-09-14"
158.470001,160.970001,158,159.880005,49114600,159.307312,"2017-09-15"
160.110001,160.5,158,158.669998,28269400,158.101639,"2017-09-18"
159.509995,159.770004,158.440002,158.729996,20810600,158.161423,"2017-09-19"
157.899994,158.259995,153.830002,156.070007,52951400,155.510971,"2017-09-20"
155.800003,155.800003,152.75,153.389999,37511700,152.840561,"2017-09-21"
151.539993,152.270004,150.559998,151.889999,46645400,151.345932,"2017-09-22"
149.990005,151.830002,149.160004,150.550003,44387300,150.010727,"2017-09-25"
151.779999,153.919998,151.690002,153.139999,36660000,152.591446,"2017-09-26"
153.800003,154.720001,153.539993,154.229996,25504200,153.677551,"2017-09-27"
153.889999,154.279999,152.699997,153.279999,22005500,152.730957,"2017-09-28"
153.210007,154.130005,152,154.119995,26299800,153.567932,"2017-09-29"
154.259995,154.449997,152.720001,153.809998,18698800,153.259048,"2017-10-02"
154.009995,155.089996,153.910004,154.479996,16230300,153.926651,"2017-10-03"
153.630005,153.860001,152.460007,153.479996,20163800,152.930237,"2017-10-04"
154.179993,155.440002,154.050003,155.389999,21283800,154.833389,"2017-10-05"
154.970001,155.490005,154.559998,155.300003,17407600,154.743713,"2017-10-06"
155.809998,156.729996,155.490005,155.839996,16262900,155.281784,"2017-10-09"
156.059998,158,155.100006,155.899994,15617000,155.341553,"2017-10-10"
155.970001,156.979996,155.75,156.550003,16905600,155.989243,"2017-10-11"
156.350006,157.369995,155.729996,156,16125100,155.441208,"2017-10-12"
156.729996,157.279999,156.410004,156.990005,16394200,156.427673,"2017-10-13"
157.899994,160,157.649994,159.880005,24121500,159.307312,"2017-10-16"
159.779999,160.869995,159.229996,160.470001,18997300,159.895203,"2017-10-17"
160.419998,160.710007,159.600006,159.759995,16374200,159.187729,"2017-10-18"
156.75,157.080002,155.020004,155.979996,42584200,155.42128,"2017-10-19"
156.610001,157.75,155.960007,156.25,23974100,155.690308,"2017-10-20"
156.889999,157.690002,155.5,156.169998,21984300,155.610596,"2017-10-23"
156.289993,157.419998,156.199997,157.100006,17757200,156.537277,"2017-10-24"
156.910004,157.550003,155.270004,156.410004,21207100,155.849747,"2017-10-25"
157.229996,157.830002,156.779999,157.410004,17000500,156.846161,"2017-10-26"
159.289993,163.600006,158.699997,163.050003,44454200,162.465958,"2017-10-27"
163.889999,168.070007,163.720001,166.720001,44700800,166.122803,"2017-10-30"
167.899994,169.649994,166.940002,169.039993,36046800,168.434494,"2017-10-31"
169.869995,169.940002,165.610001,166.889999,33637800,166.292206,"2017-11-01"
166.600006,168.5,165.279999,168.110001,41393400,167.507828,"2017-11-02"
174,174.259995,171.119995,172.5,59398600,171.882111,"2017-11-03"
172.369995,174.990005,171.720001,174.25,35026300,173.625839,"2017-11-06"
173.910004,175.25,173.600006,174.809998,24361500,174.183823,"2017-11-07"
174.660004,176.240005,174.330002,176.240005,24409500,175.608719,"2017-11-08"
175.110001,176.100006,173.139999,175.880005,29482600,175.25,"2017-11-09"
175.110001,175.380005,174.270004,174.669998,25145500,174.669998,"2017-11-10"
173.5,174.5,173.399994,173.970001,16982100,173.970001,"2017-11-13"
173.039993,173.479996,171.179993,171.339996,24782500,171.339996,"2017-11-14"
169.970001,170.320007,168.380005,169.080002,29158100,169.080002,"2017-11-15"
171.179993,171.869995,170.300003,171.100006,23637500,171.100006,"2017-11-16"
171.039993,171.389999,169.639999,170.149994,21899500,170.149994,"2017-11-17"
170.289993,170.559998,169.559998,169.979996,16262400,169.979996,"2017-11-20"
170.779999,173.699997,170.779999,173.139999,25131300,173.139999,"2017-11-21"
173.360001,175,173.050003,174.960007,25588900,174.960007,"2017-11-22"
175.100006,175.5,174.649994,174.970001,14026700,174.970001,"2017-11-24"
175.050003,175.080002,173.339996,174.089996,20716800,174.089996,"2017-11-27"
174.300003,174.869995,171.860001,173.070007,26428800,173.070007,"2017-11-28"
172.630005,172.919998,167.160004,169.479996,41666400,169.479996,"2017-11-29"
170.429993,172.139999,168.440002,171.850006,41527200,171.850006,"2017-11-30"
169.949997,171.669998,168.5,171.050003,39759300,171.050003,"2017-12-01"
172.479996,172.619995,169.630005,169.800003,32542400,169.800003,"2017-12-04"
169.059998,171.520004,168.399994,169.639999,27350200,169.639999,"2017-12-05"
167.5,170.199997,166.460007,169.009995,28560000,169.009995,"2017-12-06"
169.029999,170.440002,168.910004,169.320007,25673300,169.320007,"2017-12-07"
170.490005,171,168.820007,169.369995,23355200,169.369995,"2017-12-08"
169.199997,172.889999,168.789993,172.669998,35273800,172.669998,"2017-12-11"
172.149994,172.389999,171.460007,171.699997,19409200,171.699997,"2017-12-12"
172.5,173.539993,172,172.270004,23818400,172.270004,"2017-12-13"
172.399994,173.130005,171.649994,172.220001,20476500,172.220001,"2017-12-14"
173.630005,174.169998,172.460007,173.970001,40169300,173.970001,"2017-12-15"
174.880005,177.199997,174.860001,176.419998,29421100,176.419998,"2017-12-18"
175.029999,175.389999,174.089996,174.539993,27436400,174.539993,"2017-12-19"
174.869995,175.419998,173.25,174.350006,23475600,174.350006,"2017-12-20"
174.169998,176.020004,174.100006,175.009995,20949900,175.009995,"2017-12-21"
174.679993,175.419998,174.5,175.009995,16349400,175.009995,"2017-12-22"
170.800003,171.470001,169.679993,170.570007,33185500,170.570007,"2017-12-26"
